FID,name,address,zipcode,type,shape,notes
coa_food_locations.40,THE WELCOME TABLE - SWANNANOA,216 WHITSON AVE.,28778,Manna Agencies,POINT (-82.39703220722036 35.59997426005684),ploch@charter.ne
coa_food_locations.41,FIRST BAPTIST CHURCH - HOMELESS,5 OAK ST.,28801,Manna Agencies,POINT (-82.54779161681084 35.59901343380768),emorgan@fbca.net
coa_food_locations.42,LEAST OF THESE MINISTRIES,396 GENEVA PLACE,28778,Manna Agencies,POINT (-82.29670412499264 35.64638255641497),burton.salthouse
coa_food_locations.43,ZEPHYR HILLS FREEWILL BAPTIST C,283 SHELBURNE RD,28806,Manna Agencies,POINT (-82.60187650474215 35.57084090844921),zephyrhillsfreew
coa_food_locations.44,GOSPEL TABERNACLE,202 BRICKYARD ROAD,28806,Manna Agencies,POINT (-82.59762891228864 35.60373772682719),glorredmon@aol.c
coa_food_locations.45,CHANNEL OF GRACE (FIRST CONGREG,20 OAK ST,28805,Manna Agencies,POINT (-82.54802601225306 35.597799321722746),w.burgess@yahoo.
coa_food_locations.46,OAKLEY BAPTIST CHURCH,70 FAIRVIEW AVE.,28803,Manna Agencies,POINT (-82.51460494933416 35.56625455307427),lddotson@bellsou
coa_food_locations.47,TABERNACLE MISSIONARY BAPTIST C,56 WALTON ST.,28801,Manna Agencies,POINT (-82.56077585595544 35.57543012059765),pflowers1963@gma
coa_food_locations.48,CALVARY BAPTIST CHURCH - BRIAN',531 HAYWOOD ROAD,28806,Manna Agencies,POINT (-82.58517617825404 35.57902133987062),atat2d4life@aol.
coa_food_locations.49,BEVERLY HILLS BAPTIST - FAMILY,777 TUNNEL ROAD,28805,Manna Agencies,POINT (-82.5074426146959 35.58622457712666),bhbcoffice@bhbca
coa_food_locations.50,HOMINY VALLEY WELCOME TABLE (AS,725 ASBURY ROAD,28715,Manna Agencies,POINT (-82.67356216911271 35.55654628579571),faumc1@bellsouth
coa_food_locations.51,CATHOLIC SOCIAL SERVICES - FOOD,50 ORANGE STREET,28801,Manna Agencies,POINT (-82.5512485044403 35.6018502555904),mmsheppard@charl
coa_food_locations.52,RIVERSIDE BAPTIST CHURCH,871 RIVERSIDE DR,28804,Manna Agencies,POINT (-82.57487215631497 35.619228846381034), 
coa_food_locations.53,THE DOWNTOWN WELCOME TABLE,"297 HAYWOOD ST, CENTRAL UMC",28801,Manna Agencies,POINT (-82.5631492146022 35.59324186620599),rev.briancombs@g
coa_food_locations.54,BILTMORE CHURCH OF GOD - JUST A,1390 SWEETEN CREEK ROAD,28803,Manna Agencies,POINT (-82.51801903154947 35.53446244185735),kathysfilosophy@
coa_food_locations.55,EAST ASHEVILLE WELCOME TABLE,954 TUNNEL ROAD,28805,Manna Agencies,POINT (-82.50047885751415 35.58984032199347),geraldd@groceumc
coa_food_locations.57,Black Mountain Community PRODUC,101 Carver Avenue,28711,Manna Agencies,POINT (-82.34021442059841 35.61485714679395), 
coa_food_locations.18,LOVING FOOD RESOURCES,123 KENILWORTH ROAD,28813,Manna Agencies,POINT (-82.53872348586006 35.57661374508096),LovingFoodResour
coa_food_locations.20,ABCCM - NORTH BUNCOMBE SAMARITA,403 WEAVERVILLE HWY.,28787,Manna Agencies,POINT (-82.58302271714466 35.66469722495415),mickey.black@abc
coa_food_locations.29,VICTORY FELLOWSHIP WORSHIP CENT,450 AIKEN DRIVE,28787,Manna Agencies,POINT (-82.58205599209367 35.68327174732846),sdburleson@juno.
coa_food_locations.33,"FOOD FOR FAIRVIEW, INC.","1357 CHARLOTTE HWY, COMMUNITY CTR",28730,Manna Agencies,POINT (-82.41011717916545 35.523510607577194),wansong@bellsout
coa_food_locations.35,GEORGETOWN MISSIONARY BAPTIST,DIX CREEK ROAD #1,28748,Manna Agencies,POINT (-82.678648645753 35.60638047739077),swbigmamaw18@gma
coa_food_locations.56,LEICESTER COMMUNITY WELCOME TAB,17 MAYNARD ROAD,28748,Manna Agencies,POINT (-82.6511057682594 35.5150093403556),efmears@bellsout
coa_food_locations.92,Ingles,1141 Tunnel Road,,Grocery,POINT (-82.4881719449137 35.585737047755295), 
coa_food_locations.93,Ingles,29 Tunnel Road,,Grocery,POINT (-82.53547327607379 35.59539506686193), 
coa_food_locations.94,Ingles,863 Brevard Road,,Grocery,POINT (-82.60736304048031 35.530555124770714), 
coa_food_locations.95,Ingles,669 Haywood Road,,Grocery,POINT (-82.59087121865612 35.57876067593008), 
coa_food_locations.96,Ingles,153 Smokey Park Highway,,Grocery,POINT (-82.62852132005571 35.56436912627368), 
coa_food_locations.97,Ingles,575 New Leicester Highway,,Grocery,POINT (-82.63162231777156 35.61454633795549), 
coa_food_locations.98,Ingles,1865 Hendersonville Road,,Grocery,POINT (-82.5239482620304 35.50023276031576), 
coa_food_locations.99,Ingles,780 Hendersonville Road,,Grocery,POINT (-82.53156916848621 35.54474687830776), 
coa_food_locations.100,Wal-Mart,60 Airport Road,,Grocery,POINT (-82.52297628626093 35.45634492117863),Arden
coa_food_locations.101,Food Lion,1350 Charlotte Highway,,Grocery,POINT (-82.41109521662037 35.52462000580196),Fairview
coa_food_locations.102,Wal-Mart,146 Monticello Road,,Grocery,POINT (-82.58141783374725 35.70601479199479),Weavervil
coa_food_locations.103,Bi-Lo,801 Fairview Road,,Grocery,POINT (-82.50303412378483 35.570908145963784), 
coa_food_locations.104,Food Lion,1856 Hendersonville Road,,Grocery,POINT (-82.52126499133873 35.5011489320013), 
coa_food_locations.105,Harris Teeter,1378 Hendersonville Road,,Grocery,POINT (-82.52908462969035 35.52211757060244), 
coa_food_locations.106,Wal-Mart,437 Swannanoa River Road,,Grocery,POINT (-82.51342973065535 35.57904041971036), 
coa_food_locations.107,Aldi,470 Swannanoa River Rd,,Grocery,POINT (-82.5110144281829 35.57801493540687),
coa_food_locations.108,Aldi,1344 Patton Ave,,Grocery,POINT (-82.6045026956399 35.583071972147685),
coa_food_locations.109,Amazing Savings,45 S French Broad Ave,,Grocery,POINT (-82.55921284747673 35.59211384130743),
coa_food_locations.110,Amazing Savings,121 Sweeten Creek Road,,Grocery,POINT (-82.52775324024901 35.56278023153945),
coa_food_locations.111,Amazing Savings,"3018 US-70, Suite 1",,Grocery,POINT (-82.35063481910025 35.608673768987835),
coa_food_locations.112,Go Grocery Outlet,121 New Leicester Hwy,,Grocery,POINT (-82.60590127337822 35.59282962234467),
coa_food_locations.113,Go Grocery Outlet,1804 Hendersonville Rd,,Grocery,POINT (-82.52257741833449 35.50523954299289),
coa_food_locations.114,Go Grocery Outlet,1380 Tunnel Rd,,Grocery,POINT (-82.46763603662998 35.58423453695724),
coa_food_locations.115,Sav-Mor,891 Patton Ave,,Grocery,POINT (-82.58796426509338 35.58809769166377),
coa_food_locations.116,Sav-Mor,842 Merrimon Ave,,Grocery,POINT (-82.55379770339333 35.62837075243173),
